log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,cos(zen) low,cos(zen) center,cos(zen) high,aeff [m^2]
1.7,1.875,2.05,-1.0,-0.975,-0.95,9.428264097595655e-05
1.7,1.875,2.05,-0.95,-0.925,-0.9,4.443943574718268e-05
1.7,1.875,2.05,-0.9,-0.875,-0.85,4.7803152846507494e-05
1.7,1.875,2.05,-0.85,-0.825,-0.8,2.8969268327222786e-05
1.7,1.875,2.05,-0.8,-0.775,-0.75,2.761958220717262e-05
1.7,1.875,2.05,-0.75,-0.725,-0.7,2.2577299128041402e-05
1.7,1.875,2.05,-0.7,-0.675,-0.65,4.099154657539245e-05
1.7,1.875,2.05,-0.65,-0.625,-0.6,1.835319391426134e-05
1.7,1.875,2.05,-0.6,-0.575,-0.55,8.090694201750228e-06
1.7,1.875,2.05,-0.55,-0.525,-0.5,1.6795833751201818e-05
1.7,1.875,2.05,-0.5,-0.475,-0.45,1.8550248239920092e-05
1.7,1.875,2.05,-0.45,-0.425,-0.4,1.9990336113137048e-05
1.7,1.875,2.05,-0.4,-0.375,-0.35,1.0728235616302276e-05
1.7,1.875,2.05,-0.35,-0.325,-0.3,6.281114533782868e-06
1.7,1.875,2.05,-0.3,-0.275,-0.25,1.262063504945888e-05
1.7,1.875,2.05,-0.25,-0.225,-0.2,0.0
1.7,1.875,2.05,-0.2,-0.175,-0.15,5.233949943392983e-06
1.7,1.875,2.05,-0.15,-0.125,-0.1,0.0
1.7,1.875,2.05,-0.1,-0.075,-0.05,0.0
1.7,1.875,2.05,-0.05,-0.025,0.0,9.801471370559767e-06
1.7,1.875,2.05,0.0,0.025,0.05,0.0
1.7,1.875,2.05,0.05,0.075,0.1,6.412046579775997e-06
1.7,1.875,2.05,0.1,0.125,0.15,0.0
1.7,1.875,2.05,0.15,0.175,0.2,0.0
1.7,1.875,2.05,0.2,0.225,0.25,0.0
1.7,1.875,2.05,0.25,0.275,0.3,0.0
1.7,1.875,2.05,0.3,0.325,0.35,0.0
1.7,1.875,2.05,0.35,0.375,0.4,0.0
1.7,1.875,2.05,0.4,0.425,0.45,0.0
1.7,1.875,2.05,0.45,0.475,0.5,0.0
1.7,1.875,2.05,0.5,0.525,0.55,0.0
1.7,1.875,2.05,0.55,0.575,0.6,0.0
1.7,1.875,2.05,0.6,0.625,0.65,0.0
1.7,1.875,2.05,0.65,0.675,0.7,0.0
1.7,1.875,2.05,0.7,0.725,0.75,0.0
1.7,1.875,2.05,0.75,0.775,0.8,0.0
1.7,1.875,2.05,0.8,0.825,0.85,0.0
1.7,1.875,2.05,0.85,0.875,0.9,0.0
1.7,1.875,2.05,0.9,0.925,0.95,0.0
1.7,1.875,2.05,0.95,0.975,1.0,0.0
2.05,2.225,2.4,-1.0,-0.975,-0.95,0.003909700087109629
2.05,2.225,2.4,-0.95,-0.925,-0.9,0.003130555323696717
2.05,2.225,2.4,-0.9,-0.875,-0.85,0.002956460634157328
2.05,2.225,2.4,-0.85,-0.825,-0.8,0.002712256537366387
2.05,2.225,2.4,-0.8,-0.775,-0.75,0.0026838044936427705
2.05,2.225,2.4,-0.75,-0.725,-0.7,0.0027376814858411707
2.05,2.225,2.4,-0.7,-0.675,-0.65,0.0026376302152479373
2.05,2.225,2.4,-0.65,-0.625,-0.6,0.002345260571172689
2.05,2.225,2.4,-0.6,-0.575,-0.55,0.0023630057996807353
2.05,2.225,2.4,-0.55,-0.525,-0.5,0.002493462161602257
