log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,sin(dec) low,sin(dec) center,sin(dec) high,rate [s^-1]
1.0,1.175,1.35,-1.0,-0.975,-0.95,0.0
1.0,1.175,1.35,-0.95,-0.925,-0.9,0.0
1.0,1.175,1.35,-0.9,-0.875,-0.85,0.0
1.0,1.175,1.35,-0.85,-0.825,-0.8,0.0
1.0,1.175,1.35,-0.8,-0.775,-0.75,0.0
1.0,1.175,1.35,-0.75,-0.725,-0.7,0.0
1.0,1.175,1.35,-0.7,-0.675,-0.65,0.0
1.0,1.175,1.35,-0.65,-0.625,-0.6,0.0
1.0,1.175,1.35,-0.6,-0.575,-0.55,0.0
1.0,1.175,1.35,-0.55,-0.525,-0.5,0.0
1.0,1.175,1.35,-0.5,-0.475,-0.45,0.0
1.0,1.175,1.35,-0.45,-0.425,-0.4,0.0
1.0,1.175,1.35,-0.4,-0.375,-0.35,0.0
1.0,1.175,1.35,-0.35,-0.325,-0.3,0.0
1.0,1.175,1.35,-0.3,-0.275,-0.25,0.0
1.0,1.175,1.35,-0.25,-0.225,-0.2,0.0
1.0,1.175,1.35,-0.2,-0.175,-0.15,0.0
1.0,1.175,1.35,-0.15,-0.125,-0.1,0.0
1.0,1.175,1.35,-0.1,-0.075,-0.05,0.0
1.0,1.175,1.35,-0.05,-0.025,0.0,0.0
1.0,1.175,1.35,0.0,0.025,0.05,0.0
1.0,1.175,1.35,0.05,0.075,0.1,0.0
1.0,1.175,1.35,0.1,0.125,0.15,0.0
1.0,1.175,1.35,0.15,0.175,0.2,0.0
1.0,1.175,1.35,0.2,0.225,0.25,0.0
1.0,1.175,1.35,0.25,0.275,0.3,0.0
1.0,1.175,1.35,0.3,0.325,0.35,0.0
1.0,1.175,1.35,0.35,0.375,0.4,0.0
1.0,1.175,1.35,0.4,0.425,0.45,0.0
1.0,1.175,1.35,0.45,0.475,0.5,0.0
1.0,1.175,1.35,0.5,0.525,0.55,0.0
1.0,1.175,1.35,0.55,0.575,0.6,0.0
1.0,1.175,1.35,0.6,0.625,0.65,0.0
1.0,1.175,1.35,0.65,0.675,0.7,0.0
1.0,1.175,1.35,0.7,0.725,0.75,0.0
1.0,1.175,1.35,0.75,0.775,0.8,0.0
1.0,1.175,1.35,0.8,0.825,0.85,0.0
1.0,1.175,1.35,0.85,0.875,0.9,0.0
1.0,1.175,1.35,0.9,0.925,0.95,0.0
1.0,1.175,1.35,0.95,0.975,1.0,0.0
1.35,1.525,1.7,-1.0,-0.975,-0.95,0.0
1.35,1.525,1.7,-0.95,-0.925,-0.9,0.0
1.35,1.525,1.7,-0.9,-0.875,-0.85,0.0
1.35,1.525,1.7,-0.85,-0.825,-0.8,0.0
1.35,1.525,1.7,-0.8,-0.775,-0.75,0.0
1.35,1.525,1.7,-0.75,-0.725,-0.7,0.0
1.35,1.525,1.7,-0.7,-0.675,-0.65,0.0
1.35,1.525,1.7,-0.65,-0.625,-0.6,0.0
1.35,1.525,1.7,-0.6,-0.575,-0.55,0.0
1.35,1.525,1.7,-0.55,-0.525,-0.5,0.0
1.35,1.525,1.7,-0.5,-0.475,-0.45,0.0
1.35,1.525,1.7,-0.45,-0.425,-0.4,0.0
1.35,1.525,1.7,-0.4,-0.375,-0.35,0.0
1.35,1.525,1.7,-0.35,-0.325,-0.3,0.0
1.35,1.525,1.7,-0.3,-0.275,-0.25,0.0
1.35,1.525,1.7,-0.25,-0.225,-0.2,0.0
1.35,1.525,1.7,-0.2,-0.175,-0.15,0.0
1.35,1.525,1.7,-0.15,-0.125,-0.1,0.0
1.35,1.525,1.7,-0.1,-0.075,-0.05,0.0
1.35,1.525,1.7,-0.05,-0.025,0.0,0.0
1.35,1.525,1.7,0.0,0.025,0.05,0.0
1.35,1.525,1.7,0.05,0.075,0.1,0.0
1.35,1.525,1.7,0.1,0.125,0.15,0.0
1.35,1.525,1.7,0.15,0.175,0.2,0.0
