log10(reco_E [GeV]) low,log10(reco_E [GeV]) center,log10(reco_E [GeV]) high,sin(dec) low,sin(dec) center,sin(dec) high,rate [s^-1]
1.0,1.175,1.35,-1.0,-0.975,-0.95,2.019420076044072e-06
1.0,1.175,1.35,-0.95,-0.925,-0.9,2.1110397816929454e-06
1.0,1.175,1.35,-0.9,-0.875,-0.85,2.2908541461658675e-06
1.0,1.175,1.35,-0.85,-0.825,-0.8,2.3163874412383475e-06
1.0,1.175,1.35,-0.8,-0.775,-0.75,2.4653500455200288e-06
1.0,1.175,1.35,-0.75,-0.725,-0.7,2.3471416272001296e-06
1.0,1.175,1.35,-0.7,-0.675,-0.65,2.1522848435437175e-06
1.0,1.175,1.35,-0.65,-0.625,-0.6,1.973419485629256e-06
1.0,1.175,1.35,-0.6,-0.575,-0.55,1.8639895863870991e-06
1.0,1.175,1.35,-0.55,-0.525,-0.5,1.783427078218018e-06
1.0,1.175,1.35,-0.5,-0.475,-0.45,1.7081962420120689e-06
1.0,1.175,1.35,-0.45,-0.425,-0.4,1.6390028391281446e-06
1.0,1.175,1.35,-0.4,-0.375,-0.35,1.5714702446051563e-06
1.0,1.175,1.35,-0.35,-0.325,-0.3,1.4909471105037987e-06
1.0,1.175,1.35,-0.3,-0.275,-0.25,1.4163742776831675e-06
1.0,1.175,1.35,-0.25,-0.225,-0.2,1.3751729615139322e-06
1.0,1.175,1.35,-0.2,-0.175,-0.15,1.3240632882166958e-06
1.0,1.175,1.35,-0.15,-0.125,-0.1,1.2944442756853268e-06
1.0,1.175,1.35,-0.1,-0.075,-0.05,1.2683440762240654e-06
1.0,1.175,1.35,-0.05,-0.025,0.0,1.2320491743495484e-06
1.0,1.175,1.35,0.0,0.025,0.05,1.1828680732558036e-06
1.0,1.175,1.35,0.05,0.075,0.1,1.1959049399184652e-06
1.0,1.175,1.35,0.1,0.125,0.15,1.1970554574622371e-06
1.0,1.175,1.35,0.15,0.175,0.2,1.148378514983661e-06
