log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(psi [degrees]),dP/dOmega
3.100,3.275,3.450,-4.0,0.0
3.100,3.275,3.450,-3.996870799147022,0.0
3.100,3.275,3.450,-3.9937415982940436,0.0
3.100,3.275,3.450,-3.9906123974410654,0.0
3.100,3.275,3.450,-3.9874831965880873,0.0
3.100,3.275,3.450,-3.984353995735109,0.0
3.100,3.275,3.450,-3.9812247948821313,0.0
3.100,3.275,3.450,-3.978095594029153,0.0
3.100,3.275,3.450,-3.974966393176175,0.0
3.100,3.275,3.450,-3.9718371923231968,0.0
3.100,3.275,3.450,-3.9687079914702186,0.0
3.100,3.275,3.450,-3.9655787906172404,0.0
3.100,3.275,3.450,-3.962449589764262,0.0
3.100,3.275,3.450,-3.959320388911284,0.0
3.100,3.275,3.450,-3.956191188058306,0.0
3.100,3.275,3.450,-3.953061987205328,0.0
3.100,3.275,3.450,-3.94993278635235,0.0
3.100,3.275,3.450,-3.9468035854993717,0.0
3.100,3.275,3.450,-3.9436743846463935,0.0
3.100,3.275,3.450,-3.9405451837934153,0.0
3.100,3.275,3.450,-3.937415982940437,0.0
3.100,3.275,3.450,-3.934286782087459,0.0
3.100,3.275,3.450,-3.931157581234481,0.0
3.100,3.275,3.450,-3.9280283803815026,0.0
3.100,3.275,3.450,-3.9248991795285244,0.0
3.100,3.275,3.450,-3.921769978675546,0.0
3.100,3.275,3.450,-3.9186407778225685,0.0
3.100,3.275,3.450,-3.9155115769695903,0.0
3.100,3.275,3.450,-3.912382376116612,0.0
3.100,3.275,3.450,-3.909253175263634,0.0
3.100,3.275,3.450,-3.9061239744106557,0.0
3.100,3.275,3.450,-3.9029947735576775,0.0
3.100,3.275,3.450,-3.8998655727046994,0.0
3.100,3.275,3.450,-3.896736371851721,0.0
3.100,3.275,3.450,-3.893607170998743,0.0
3.100,3.275,3.450,-3.8904779701457652,0.0
3.100,3.275,3.450,-3.887348769292787,0.0
3.100,3.275,3.450,-3.884219568439809,0.0
3.100,3.275,3.450,-3.8810903675868307,0.0
3.100,3.275,3.450,-3.8779611667338525,0.0
3.100,3.275,3.450,-3.8748319658808743,0.0
3.100,3.275,3.450,-3.871702765027896,0.0
3.100,3.275,3.450,-3.868573564174918,0.0
3.100,3.275,3.450,-3.8654443633219397,0.0
3.100,3.275,3.450,-3.8623151624689616,0.0
3.100,3.275,3.450,-3.8591859616159834,0.0
3.100,3.275,3.450,-3.8560567607630056,0.0
3.100,3.275,3.450,-3.8529275599100274,0.0
3.100,3.275,3.450,-3.8497983590570493,0.0
