log10(nu_E [GeV]) low,log10(nu_E [GeV]) center,log10(nu_E [GeV]) high,log10(psi [degrees]),dP/dOmega
1.700,1.875,2.050,-4.0,132.01815370422742
1.700,1.875,2.050,-3.996870799147022,132.01815370558194
1.700,1.875,2.050,-3.9937415982940436,132.01815370692893
1.700,1.875,2.050,-3.9906123974410654,132.0181537082684
1.700,1.875,2.050,-3.9874831965880873,132.0181537096003
1.700,1.875,2.050,-3.984353995735109,132.0181537109248
1.700,1.875,2.050,-3.9812247948821313,132.01815371224177
1.700,1.875,2.050,-3.978095594029153,132.01815371355133
1.700,1.875,2.050,-3.974966393176175,132.01815371485344
1.700,1.875,2.050,-3.9718371923231968,132.01815371614816
1.700,1.875,2.050,-3.9687079914702186,132.01815371743552
1.700,1.875,2.050,-3.9655787906172404,132.0181537187155
1.700,1.875,2.050,-3.962449589764262,132.01815371998813
1.700,1.875,2.050,-3.959320388911284,132.01815372125344
1.700,1.875,2.050,-3.956191188058306,132.01815372251147
1.700,1.875,2.050,-3.953061987205328,132.01815372376223
1.700,1.875,2.050,-3.94993278635235,132.0181537250057
1.700,1.875,2.050,-3.9468035854993717,132.01815372624196
1.700,1.875,2.050,-3.9436743846463935,132.01815372747103
1.700,1.875,2.050,-3.9405451837934153,132.01815372869288
1.700,1.875,2.050,-3.937415982940437,132.01815372990754
1.700,1.875,2.050,-3.934286782087459,132.0181537311151
1.700,1.875,2.050,-3.931157581234481,132.01815373231548
1.700,1.875,2.050,-3.9280283803815026,132.01815373350877
1.700,1.875,2.050,-3.9248991795285244,132.01815373469498
1.700,1.875,2.050,-3.921769978675546,132.01815373587414
1.700,1.875,2.050,-3.9186407778225685,132.01815373704622
1.700,1.875,2.050,-3.9155115769695903,132.01815373821128
1.700,1.875,2.050,-3.912382376116612,132.01815373936935
1.700,1.875,2.050,-3.909253175263634,132.01815374052046
1.700,1.875,2.050,-3.9061239744106557,132.01815374166458
1.700,1.875,2.050,-3.9029947735576775,132.01815374280176
1.700,1.875,2.050,-3.8998655727046994,132.01815374393203
1.700,1.875,2.050,-3.896736371851721,132.0181537450554
1.700,1.875,2.050,-3.893607170998743,132.0181537461719
1.700,1.875,2.050,-3.8904779701457652,132.01815374728153
1.700,1.875,2.050,-3.887348769292787,132.01815374838435
1.700,1.875,2.050,-3.884219568439809,132.01815374948035
1.700,1.875,2.050,-3.8810903675868307,132.01815375056955
1.700,1.875,2.050,-3.8779611667338525,132.01815375165197
1.700,1.875,2.050,-3.8748319658808743,132.01815375272764
1.700,1.875,2.050,-3.871702765027896,132.0181537537966
1.700,1.875,2.050,-3.868573564174918,132.01815375485884
1.700,1.875,2.050,-3.8654443633219397,132.0181537559144
1.700,1.875,2.050,-3.8623151624689616,132.0181537569633
1.700,1.875,2.050,-3.8591859616159834,132.01815375800555
1.700,1.875,2.050,-3.8560567607630056,132.01815375904116
1.700,1.875,2.050,-3.8529275599100274,132.0181537600702
1.700,1.875,2.050,-3.8497983590570493,132.01815376109263
1.700,1.875,2.050,-3.846669158204071,132.0181537621085
1.700,1.875,2.050,-3.843539957351093,132.01815376311782
1.700,1.875,2.050,-3.8404107564981147,132.01815376412065
1.700,1.875,2.050,-3.8372815556451365,132.01815376511698
1.700,1.875,2.050,-3.8341523547921583,132.01815376610682
1.700,1.875,2.050,-3.83102315393918,132.0181537670902
1.700,1.875,2.050,-3.8278939530862024,132.01815376806718
1.700,1.875,2.050,-3.824764752233224,132.01815376903772
1.700,1.875,2.050,-3.821635551380246,132.01815377000187
1.700,1.875,2.050,-3.818506350527268,132.01815377095966
1.700,1.875,2.050,-3.8153771496742896,132.01815377191107
1.700,1.875,2.050,-3.8122479488213115,132.01815377285618
1.700,1.875,2.050,-3.8091187479683333,132.01815377379498
1.700,1.875,2.050,-3.805989547115355,132.0181537747275
1.700,1.875,2.050,-3.802860346262377,132.01815377565373
1.700,1.875,2.050,-3.7997311454093987,132.01815377657374
1.700,1.875,2.050,-3.7966019445564205,132.0181537774875
1.700,1.875,2.050,-3.793472743703443,132.0181537783951
1.700,1.875,2.050,-3.7903435428504646,132.01815377929648
1.700,1.875,2.050,-3.7872143419974864,132.0181537801917
1.700,1.875,2.050,-3.7840851411445082,132.0181537810808
1.700,1.875,2.050,-3.78095594029153,132.01815378196378
1.700,1.875,2.050,-3.777826739438552,132.01815378284064
1.700,1.875,2.050,-3.7746975385855737,132.01815378371145
1.700,1.875,2.050,-3.7715683377325955,132.01815378457619
1.700,1.875,2.050,-3.7684391368796173,132.0181537854349
1.700,1.875,2.050,-3.7653099360266395,132.0181537862876
1.700,1.875,2.050,-3.7621807351736614,132.0181537871343
1.700,1.875,2.050,-3.759051534320683,132.01815378797505
1.700,1.875,2.050,-3.755922333467705,132.01815378880983
1.700,1.875,2.050,-3.752793132614727,132.0181537896387
1.700,1.875,2.050,-3.7496639317617486,132.01815379046164
1.700,1.875,2.050,-3.7465347309087704,132.0181537912787
1.700,1.875,2.050,-3.7434055300557922,132.0181537920899
1.700,1.875,2.050,-3.740276329202814,132.01815379289525
1.700,1.875,2.050,-3.737147128349836,132.01815379369478
1.700,1.875,2.050,-3.7340179274968577,132.0181537944885
1.700,1.875,2.050,-3.73088872664388,132.01815379527645
1.700,1.875,2.050,-3.7277595257909018,132.01815379605864
1.700,1.875,2.050,-3.7246303249379236,132.0181537968351
1.700,1.875,2.050,-3.7215011240849454,132.01815379760583
1.700,1.875,2.050,-3.718371923231967,132.01815379837086
1.700,1.875,2.050,-3.715242722378989,132.0181537991302
1.700,1.875,2.050,-3.712113521526011,132.01815379988392
1.700,1.875,2.050,-3.7089843206730326,132.01815380063198
1.700,1.875,2.050,-3.7058551198200544,132.01815380137444
1.700,1.875,2.050,-3.7027259189670767,132.0181538021113
